clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds
25,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.455340281,0.403129918,32.79766623
12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.449195313,0.422051395,32.26534639
12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.465538066,0.402182926,34.72243878
12.5,0.25,0.25,0.25,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.497274998,0.449871489,35.61618557
12.5,0.25,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.617635584,0.510839162,43.33471751
12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.483872542,0.438630573,34.20739786
25,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.527189908,0.468039601,37.02177209
12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,1,0.1,0.384971264,0.400980125,31.92881551
12.5,0.25,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.631417034,0.521136035,44.59947057
25,0.5,0.38,0.63,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.498657334,0.447647041,34.33849206
25,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.496618271,0.445071322,35.82485206
25,0.5,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.483805569,0.445339419,35.98855463
12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.605758307,0.500029301,41.78031158
25,0.5,0.38,0.63,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.387351145,0.391441876,30.87322424
12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.5138891,0.459464772,37.27456885
25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.404617089,0.402728888,31.85521692
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.610321439,0.50251773,42.11266981
25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.545028739,0.445498441,37.33451161
25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.451083154,0.425321524,33.44494954
12.5,0.25,0.25,0.38,0.25,86,52,71.9,62,30,50.8,24,0.39,0.477940817,0.437265704,34.95207208
25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.504435443,0.445717779,35.55753695
25,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.564794821,0.463275619,37.97024343
12.5,0.25,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.563746659,0.478666426,39.47432437
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.575237945,0.488638858,39.69681287
12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.587060641,0.481173502,40.56148952
25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.572725923,0.487075422,40.73826603
25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,24,0.39,0.444479717,0.430077888,31.77298278
12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.588987285,0.488638858,40.7940564
25,0.5,0.38,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.62818447,0.513728593,43.93700206
25,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.479826829,0.423927032,29.55801912
25,0.5,0.38,0.63,0.5,86,52,71.9,62,30,50.8,34,0.56,0.509989204,0.45386752,36.68541263
25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.509158377,0.450886886,36.3863589
25,0.5,0.25,0.38,0.75,86,52,71.9,62,30,50.8,24,0.39,0.422547698,0.414830175,32.16492155
12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.601404506,0.498478897,41.78031158
12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.410253857,0.402182926,32.79766623
12.5,0.25,0.38,0.63,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.587319779,0.488005014,39.69681287
25,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.53434503,0.468896154,38.34358882
25,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.456503309,0.41009134,33.43397592
12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,24,0.39,0.458246439,0.41985155,33.44212024
12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.470593127,0.437265704,36.83085922
12.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,16,0.26,0.460960916,0.427937649,32.306962
12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.599953146,0.498475898,41.66192928
12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,16,0.26,0.583378727,0.481173502,40.64163782
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.512802719,0.456066643,36.31159312
25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.496009787,0.429710486,34.76957798
25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,24,0.39,0.46751899,0.429710486,33.55926075
25,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.488014406,0.448946243,35.43484314
12.5,0.25,0.25,0.25,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.631790257,0.516063505,43.65957738
12.5,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,24,0.39,0.567975637,0.488638858,39.85898134
25,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.506742719,0.449545727,36.09829713
25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.262139643,0.320727305,23.41277571
12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.483671436,0.446450716,35.20741312
12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.566355374,0.388525442,36.83081961
12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.53255682,0.440241496,38.20556052
12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.583378727,0.480106144,37.81761708
12.5,0.25,0.25,0.38,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.370946044,0.394711432,30.54294428
12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.48180056,0.446570029,35.18597077
25,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.575902218,0.486931048,40.50451387
25,0.5,0.38,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.564794821,0.442248924,40.0282126
12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.565085745,0.476588872,39.81661146
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.439423956,0.386415506,29.77562706
12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.492036352,0.448946243,35.51753863
25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,24,0.39,0.467905283,0.435291293,34.89580066
25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.465199368,0.412661872,33.31223192
12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.642881721,0.528322189,45.95298911
12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.613333283,0.504056677,42.78112742
37.5,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.364564858,0.381851426,36.7069876
25,0.5,0.25,0.5,0.63,86,52,71.9,62,30,50.8,1,0.1,0.463097152,0.438231396,34.17462527
12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.47771298,0.437681481,34.79781929
25,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.489823352,0.445497348,35.48700839
12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.566319234,0.473088807,39.04659266
25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,1,0.1,0.556301788,0.476588872,38.62163873
12.5,0.25,0.25,0.38,0.38,86,52,71.9,62,30,50.8,1,0.1,0.621810512,0.511053454,43.24204733
25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.523070143,0.453994528,36.67877702
25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.51204794,0.431201835,35.73169085
25,0.5,0.38,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.551234401,0.470176914,39.98873363
25,0.5,0.38,0.5,0.63,86,52,71.9,62,30,50.8,24,0.39,0.474162324,0.438630573,34.48550991
12.5,0.25,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.524635459,0.461905492,37.78237359
12.5,0.25,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.593029845,0.491414051,40.86547798
12.5,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.598060641,0.492693356,41.21921269
25,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.427005551,0.394168935,30.5255093
12.5,0.25,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.587319779,0.493257523,40.55501923
12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.520756415,0.460322355,41.94865711
12.5,0.25,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.595712725,0.495799217,41.71941614
12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.641617746,0.517544673,45.718182
12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.622622866,0.508010854,43.33471751
12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.600340952,0.496358614,41.48453443
25,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.502785174,0.452680279,36.88084855
12.5,0.25,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.631033926,0.52979144,44.49542302
37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.315500071,0.378528127,27.40175511
12.5,0.25,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.508104246,0.452320672,36.3723002
25,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.410652063,0.409976946,31.78225878
12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.596753394,0.492787993,41.91637397
12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.511480554,0.431201835,37.71251297
12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.496019026,0.445497348,35.18597077
25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.435969213,0.41985155,32.15869546
25,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.496636394,0.447040787,35.6972028
12.5,0.25,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.527742687,0.438095887,39.49160012
25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,34,0.56,0.498715892,0.446570029,33.12590428
12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.520637077,0.460795368,37.72210168
25,0.5,0.25,0.38,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.392540298,0.392787396,30.5797224
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.520587192,0.434132503,36.19103587
12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.51425307,0.454917386,36.6742427
25,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.498657334,0.448608762,35.92331365
12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.495987728,0.424657113,33.84753901
12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.58492102,0.48684371,40.81318096
25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.492994856,0.427177542,34.5252582
25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.468192461,0.431189418,34.78105469
12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.401255755,0.402361831,31.80685608
25,0.5,0.38,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.477641079,0.424874062,34.20739786
12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.586602539,0.488568502,40.63849594
25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,34,0.56,0.496618271,0.448946243,35.88512085
12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.614621141,0.513728593,43.7550339
25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.566319234,0.471189418,38.45342047
25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.43687052,0.391441876,32.66436708
25,0.5,0.25,0.75,0.75,86,52,71.9,62,30,50.8,24,0.39,0.350874635,0.379342921,28.28286806
25,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.509158377,0.455164177,36.46620322
25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.633144179,0.462462315,39.81661146
25,0.5,0.25,0.38,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.429092481,0.403129918,31.67018669
12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.559324725,0.455238354,38.04275581
25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.538604193,0.468763134,38.3177098
37.5,0.75,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.397461189,0.378528127,29.38856018
12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.439423956,0.419851618,33.95797729
12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.382036352,0.401091418,30.8920749
25,0.5,0.38,0.5,0.63,86,52,71.9,62,30,50.8,1,0.1,0.548724554,0.470846733,38.53456885
25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.468921469,0.430077888,34.33876109
25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.508675267,0.450537939,35.8744954
25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.496270554,0.448256199,35.89837298
25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,34,0.56,0.404617089,0.41009134,31.70230081
25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,24,0.39,0.354086468,0.377595887,28.46200492
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.488876344,0.437922725,34.95797728
12.5,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.608930974,0.502786993,42.17176453
12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.517723246,0.460305334,37.30376378
25,0.5,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.48180056,0.418867231,34.76957798
25,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.371183688,0.394168935,27.8743632
25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.550864261,0.465065287,39.44864975
25,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.419015102,0.416309732,32.60317761
12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.600340952,0.496358614,41.36494454
25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,24,0.39,0.46751899,0.429710486,33.53267475
12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.563746659,0.46618285,39.20306912
12.5,0.25,0.25,0.25,0.38,94.6,57.2,79,68.2,33,55.9,1,0.1,0.454937519,0.423865656,33.74349354
25,0.5,0.38,0.38,0.5,86,52,71.9,62,30,50.8,24,0.39,0.4965362,0.448972519,34.97653895
25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.49154744,0.448887241,36.03604274
25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,24,0.39,0.530112463,0.461903766,37.32322478
25,0.5,0.38,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.496019026,0.448463132,37.31178956
12.5,0.25,0.25,0.38,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.354086468,0.394915268,29.83315835
12.5,0.25,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.603371908,0.504877559,42.13153821
25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.448841436,0.424311942,33.33012547
25,0.5,0.38,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.531583632,0.463502091,37.81761708
12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,24,0.39,0.546174929,0.45386752,36.81018683
12.5,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.404225284,0.413380913,31.06245643
25,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.470593127,0.437354261,34.8789274
12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.56581933,0.431267232,35.23885567
25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.451291733,0.407858182,31.08154655
25,0.5,0.38,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.436893878,0.423763672,33.44212024
12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.565976484,0.478162473,38.82636429
12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.546275069,0.445284233,36.95787336
12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.556715923,0.472670389,38.65527495
12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.401537849,0.383219703,35.79125626
12.5,0.25,0.25,0.38,0.38,94.6,57.2,79,68.2,33,55.9,34,0.56,0.453836119,0.439565369,32.78937613
12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.429000524,0.408038131,35.79781169
12.5,0.25,0.25,0.38,0.38,94.6,57.2,79,68.2,33,55.9,24,0.39,0.350874635,0.383219703,29.90851804
12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.527742687,0.466474508,34.5553911
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.617868887,0.501877874,44.78112742
12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.532627825,0.442535249,36.88084855
12.5,0.25,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.564981991,0.476928353,38.65350945
25,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.379906235,0.391211231,31.80685608
12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.488485703,0.417915449,34.33849206
37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.288159094,0.352186419,35.51753863
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.521414646,0.459101737,37.25124178
25,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.509933842,0.450692194,36.39194423
25,0.5,0.38,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.522435446,0.456450549,37.7247238
12.5,0.25,0.38,0.5,0.75,86,52,71.9,62,30,50.8,34,0.56,0.354413049,0.388821721,29.08514833
12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.598645112,0.491414051,40.81318096
12.5,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.564794821,0.480580564,37.30376378
12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,34,0.56,0.500207249,0.434132503,35.92331365
25,0.5,0.38,0.63,0.5,86,52,71.9,62,30,50.8,34,0.56,0.474162324,0.435291263,34.7014352
12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.578889093,0.469892556,40.86547798
12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.496618271,0.442248924,35.84349356
25,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.391598449,0.40166998,32.68039834
25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,16,0.26,0.583378727,0.497916665,40.81318096
25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,24,0.39,0.52950023,0.462760521,36.2629303
25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.517170184,0.456752669,36.82658691
12.5,0.25,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.610993712,0.508018854,42.2784975
12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.553185654,0.455065287,38.84880688
25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,24,0.39,0.450102564,0.43491928,33.3039002
25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.535364693,0.442865602,36.2542016
12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.611039732,0.50251773,42.53222072
25,0.5,0.25,0.75,0.5,86,52,71.9,62,30,50.8,16,0.26,0.514537018,0.470373306,38.38301202
37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.39936701,0.400247657,30.13586876
12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.519208599,0.436777234,36.68258785
25,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.517169415,0.454160581,36.46620322
12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.538593399,0.489992416,39.33777176
12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,34,0.56,0.467741485,0.429230513,33.75309045
12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.378833119,0.392787396,29.77562706
25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.529163709,0.462795445,37.20955415
25,0.5,0.25,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.533196209,0.460322355,37.62977375
12.5,0.25,0.38,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.592798225,0.490981116,41.86822341
25,0.25,0.25,0.25,0.38,86,52,71.9,62,30,50.8,34,0.56,0.386011221,0.398863863,30.28237595
25,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.454737417,0.445717779,34.70241183
12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.536209474,0.442535249,36.09379556
25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,24,0.39,0.478469338,0.417907804,34.8789274
12.5,0.25,0.25,0.25,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.540978199,0.467854471,38.17659701
12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.492994856,0.447597174,35.11807556
25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.442869304,0.425245072,33.3039002
25,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.556715923,0.471125278,38.45140921
25,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.433014308,0.412661872,32.60317761
12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.595052932,0.491124144,41.93725753
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.627442488,0.511834352,43.97470322
12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.532303678,0.467219599,37.54774359
25,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.548724554,0.471161461,38.70569591
12.5,0.25,0.25,0.38,0.38,94.6,57.2,79,68.2,33,55.9,1,0.1,0.552129108,0.476588872,38.86811018
12.5,0.25,0.38,0.5,0.5,86,52,71.9,62,30,50.8,1,0.1,0.569713565,0.460180133,37.83085922
25,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.561190143,0.478135139,40.12609155
12.5,0.25,0.25,0.25,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.504435443,0.450749828,36.31114278
12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.622622866,0.511834352,35.92331365
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.612209289,0.382602075,29.2486781
12.5,0.25,0.25,0.38,0.25,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.476807761,0.438231396,34.89511705
